,28-Jan,,43528,,,,,,05-Mar,,,,,,,,Mar-14,,,,22-Mar,,,,,,Mar-25,,,,,,Apr-11,,,,,,Apr-12,,Apr-17,,,,19-Apr,,,,Apr-22,,,,,,23.04.2019,,,,,,,,01-Apr,,11049,,42125,,.,,,,May-16,,,,,,44682,,,,,,,,46874,,,,,,47239,,,,Jun-21,,,,Julu 23,,,,,,,,Jul-24,,Jul-25,,Jul-26,,,,,,,,,,Sep-02,,,,,,,,Sep-03,,,,Sep-05,,,,19-Sep,,,,,,Sep-20,,Oct-02,,,,,,,,Dec-01,,,,,,03.12.2019,,,,04.12.2019,,,,,,Jan-22,,,,,,Jan-23,,,,Jan-27,,,,,,Jan-29,,,,Feb-05,,,,10-Feb,,,,13-Feb,,,,,,14-Feb,,,,,,19-Feb,,,,20-Feb,,,,,,,,Feb-26,,,,Mar-03,,,,,,Mar-04,,,,,,Mar-09,,,,,
,,,1936.819922,35.7142868,,,2028.869922,33.33333206,1639.65,34.8432045,1681.790039,34.72222137,2282.590039,28.73563194,,,,,1969.330078,32.25806427,,,,,,22.42152405,,,2425.769922,34.12969208,1592.709961,38.46154022,,,1688.519922,36.10108185,1682.080078,37.87878799,,,,,,,,,,,1924.530078,24.81389618,1158.75,63.2911377,,,1718.930078,34.48275757,2503.009961,38.75968933,,,1672.790039,37.45318222,,,,,1683.209961,38.46154022,,,1711.45,38.46154022,2223.159961,37.59398651,2161.25,33.89830399,2230.409961,33.44481659,2230.409961,33.44481659,1969.590039,34.01360703,1985.8,32.67973709,1646.35,38.61003876,2041.340039,33.6700325,2319.919922,31.84713364,1586.140039,38.9105072,1658.390039,43.47826004,1355.359961,43.85964966,1501.890039,44.44444275,1412.3,51.02040863,1945.419922,35.33568954,1757.55,43.85964966,1761.119922,40.65040588,2089.680078,42.73504257,1758.490039,39.52569199,1882.690039,48.78048706,1888.719922,58.139534,972.3599609,68.02721405,,,,,1610.140039,45.45454407,1918.630078,34.36426163,1734.859961,35.46099472,2052.809961,35.7142868,1850.45,45.87155914,1501.140039,40.65040588,,,1591.640039,39.0625,1621.890039,40.16064072,,,2050.780078,51.28205109,1830.8,42.55319214,1326.190039,51.28205109,2007.960078,32.78688431,2222.399922,37.87878799,1845.020039,28.8184433,1684.799922,32.15434265,,,1029.68,54.9450531,,,,,,,,,3129.410078,35.27336884,1856.414961,33.00329971,,,,,2229.689961,33.00329971,1721.849922,38.16793823,1675.124922,40.73319626,,,1689.805,33.00329971,,,,,1788.93,39.2156868,1870.505,37.52345276,,,1726.045039,32.57329178,1270.320039,40.32258224,,,,,,,,,1778.155,41.40786743,1255.545039,59.88024139,1728.245039,33.11258316,1134.83498,46.72897339,1515.520039,42.37288284,1792.860078,26.95417786,1951.495039,43.76367569,1954.93,36.49634933,,,,,,,1433.220039,27.62430954,1513.20002,24.81389618,1729.299922,23.89486313,1357.970039,38.16793823,,,1750.674922,33.44481659,1880.670039,31.05590057,1434.755,40.73319626
,,,1939.380078,39.0625,,,2031.980078,32.15434265,1642.45,35.58718872,1684.540039,36.36363602,2286.040039,28.73563194,,,,,1972.690039,29.67358971,,,,,,,,,2428.669922,34.48275757,1595.4,37.3134346,,,1691.269922,36.49634933,1684.669922,38.75968933,,,,,,,,,,,1928.680078,24.03846169,1160.22998,67.56756592,,,1721.890039,33.78378296,2505.590039,38.75968933,,,1675.3,39.68254089,,,,,1685.769922,38.9105072,,,1714.059961,38.16793823,2225.909961,36.36363602,2164.119922,34.8432045,2233.45,32.89473724,2233.45,32.89473724,1972.359961,35.97122192,1988.8,33.33333206,1649.059961,36.76470566,2044.319922,33.5570488,2322.969922,32.78688431,1588.55,41.49377441,1660.75,42.37288284,1357.87998,39.68254089,1504.17998,43.66812134,1414.290039,50.25125504,1948.209961,35.7142868,1759.790039,44.6428566,1763.6,40.32258224,2092.030078,42.55319214,1760.969922,40.32258224,1884.740039,48.54368973,1890.909961,45.66210175,973.75,72.46376801,,,,,1612.580078,40.98360825,1921.55,34.36426163,1737.730078,34.8432045,2055.25,40.98360825,1852.440039,50,1503.5,42.1940918,,,1594,42.55319214,1624.209961,43.29004288,,,2052.55,56.81818008,1833.269922,40.4858284,1328.2,49.50495148,2010.88,34.2465744,2225.010078,38.31417465,1848.58,28.32861137,1687.88,32.36246109,,,1031.60002,51.94805145,,,,,,,,,3132.324922,34.30531693,1859.324922,34.42340851,,,,,2232.770039,32.52032471,1724.364961,39.76143265,1677.620039,40.16064072,,,1692.845039,32.94892883,,,,,1791.399922,40.5679512,1872.910078,41.58003998,,,1728.670039,38.16793823,1272.63,43.85964966,,,,,,,,,1780.674922,39.68254089,1257.305,56.81818008,1731.160078,34.30531693,1136.92502,47.8468895,1517.87502,42.46284485,1796.655,26.35046196,1953.870039,42.1940918,1957.764961,35.33568954,,,,,,,1436.63,29.32551384,1517.08,25.77319527,1731.585078,43.66812134,1360.63498,37.59398651,,,1753.464961,35.77817535,1883.68,33.16749573,1437.245039,40.16064072
,,,1942.119922,36.49634933,,,2035.030078,32.78688431,1645.269922,35.7142868,1687.390039,35.08771896,2289.530078,28.9017334,,,,,1975.709961,33.2225914,,,,,,,,,2431.669922,33.33333206,1598.040039,37.73584747,,,1693.990039,36.76470566,1687.25,38.61003876,,,,,,,,,,,1932.669922,25.12562752,1161.809961,63.2911377,,,1724.780078,34.60207748,2508.190039,38.46154022,,,1677.9,38.61003876,,,,,1688.359961,38.46154022,,,1716.759961,37.0370369,2228.609961,37.0370369,2167.080078,33.78378296,2236.530078,32.46753311,2236.530078,32.46753311,1975.240039,34.72222137,1991.819922,33.11258316,1651.709961,37.73584747,2047.330078,33.2225914,2326.169922,31.25,1590.97998,41.15226364,1663.440039,37.17472076,1360.259961,41.84100342,1506.4,44.8430481,1416.32002,49.26108551,1951.159961,33.89830399,1762.069922,43.85964966,1766.009961,41.49377441,2094.319922,43.66812134,1763.5,39.52569199,1886.859961,47.39336395,1892.909961,50,975.05,76.92308044,,,,,1614.840039,44.24778748,1924.459961,34.36426163,1740.369922,37.87878799,2057.669922,41.49377441,1854.35,52.35602188,1505.92998,41.32231522,,,1596.359961,42.1940918,1626.580078,42.01680756,,,2054.740039,45.45454407,1835.680078,41.49377441,1330.190039,50.25125504,2013.960078,32.36246109,2227.660078,37.73584747,1851.849922,30.48780441,1690.899922,33.11258316,,,1033.445039,54.34782791,,,,,,,,,3135.095039,36.10108185,1862.299922,33.61344528,,,,,2235.870039,32.25806427,1726.93,38.98635483,1680.045039,41.23711395,,,1695.895039,32.73322296,,,,,1793.835078,41.06776047,1875.38,40.4858284,,,1731.510078,35.21126938,1274.98,43.85964966,,,,,,,,,1783.03,42.46284485,1258.93,61.53845978,1734.074922,34.2465744,1139.064961,46.5116272,1520.355,40.32258224,1800.374922,26.77376175,1956.214961,42.64392471,1960.560078,35.77817535,,,,,,,1439.989961,29.76190567,1521.039961,25.31645584,1734.735078,31.79650307,1363.039961,41.49377441,,,1756.420039,33.89830399,1886.789961,32.05128098,1439.58498,42.73504257
,,,1944.709961,38.61003876,,,2038.030078,33.2225914,1648.030078,36.10108185,1690.169922,35.97122192,,,,,,,1978.890039,31.44654083,,,,,,,,,2434.569922,34.48275757,1600.52002,40.4858284,,,1696.709961,36.76470566,1689.809961,39.0625,,,,,,,,,,,1936.659961,25.0626564,1163.32998,65.78947449,,,1727.819922,32.89473724,2510.819922,38.16793823,,,1680.540039,37.87878799,,,,,1691.440039,32.57329178,,,1719.319922,39.0625,2231.240039,38.16793823,2170.230078,31.74603081,2239.55,33.11258316,2239.55,33.11258316,1978.030078,35.97122192,1994.85,33.00329971,1654.5,35.84229279,2050.209961,34.72222137,2329.219922,32.78688431,1593.37998,41.66666794,1665.730078,43.66812134,1362.559961,43.47826004,1508.62002,45.24886703,1418.27998,51.02040863,1953.980078,35.58718872,1764.440039,42.1940918,1768.480078,40.4858284,2096.719922,41.66666794,1765.980078,40.32258224,1888.840039,50.25125504,1895.030078,47.16981125,976.4,74.07407379,,,,,1617.119922,43.66812134,1927.380078,34.12969208,1743.209961,35.33568954,2060.15,40.16064072,1856.25,52.63158035,1508.35,41.32231522,,,1598.87998,39.68254089,1629.05,40.4858284,,,2056.509961,56.49717331,1838.090039,41.49377441,1332.17002,50.50505066,2016.98,33.2225914,2230.28,38.16793823,1855.270039,29.49852562,1694.010078,32.15434265,,,1035.264961,54.79452133,,,,,,,,,3138.005,34.36426163,1865.285078,33.44481659,,,,,2238.949922,32.41490936,1729.674922,36.42987061,1682.560078,39.68254089,,,1698.895039,33.33333206,,,,,1796.239961,41.58003998,1877.770039,41.84100342,,,1734.264961,36.231884,,,,,,,,,,,1785.485078,40.73319626,1260.514961,62.89308167,1737.035078,33.8409462,1141.28,45.35147476,1522.75002,41.75365448,1804.235078,25.97402573,1958.660078,40.89979553,1963.305,36.36363602,,,,,,,1443.489961,28.5714283,1525.18,24.21307564,1737.435078,37.0370369,1365.57502,39.52569199,,,1759.33,34.30531693,1889.935078,31.84713364,1442.10998,39.68254089
,,,1947.109961,41.84100342,,,2041.059961,33.11258316,1650.809961,35.84229279,1692.859961,37.17472076,,,,,,,1982.009961,32.05128098,,,,,,,,,2437.530078,33.78378296,1603.27002,36.36363602,,,1699.4,37.17472076,1692.5,37.17472076,,,,,,,,,,,1940.65,25.0626564,1164.859961,65.35947418,,,1730.790039,33.5570488,2513.35,39.37007904,,,1683.090039,39.2156868,,,,,1694.05,38.16793823,,,1721.959961,38.02281189,2233.909961,37.45318222,2172.930078,37.0370369,2242.480078,34.12969208,2242.480078,34.12969208,1980.959961,34.12969208,1997.869922,33.11258316,1656.890039,41.84100342,2053.230078,33.11258316,2332.409961,31.34796333,1595.809961,41.15226364,1668.090039,42.37288284,1364.85,43.85964966,1510.85,44.6428566,1420.35,48.3091774,1956.75,35.97122192,1766.690039,44.44444275,1770.890039,41.49377441,2099.080078,42.55319214,1768.469922,40.32258224,1891.25,41.49377441,1896.990039,51.28205109,977.8099609,70.92198944,,,,,1619.440039,43.29004288,1930.45,32.67973709,1746.230078,33.00329971,2062.690039,39.37007904,1858.230078,50.7614212,1510.82998,40.4858284,,,1601.22998,42.73504257,1631.269922,45.04504395,,,2058.6,48.07692337,1840.5,41.49377441,1334.15,50.50505066,2019.870039,34.60207748,2232.989961,36.90036774,1858.710078,29.76190567,1697.08,32.57329178,,,1037.195039,51.94805145,,,,,,,,,3140.749922,36.42987061,1868.249922,33.78378296,,,,,2241.939961,33.44481659,1731.960078,43.85964966,1685.035078,40.40404129,,,1701.960078,32.6264267,,,,,1798.68,40.98360825,1880.235078,40.5679512,,,1737.585078,30.12048149,,,,,,,,,,,1787.949922,40.5679512,1262.18498,60.06005859,1740.005,33.6700325,1143.27502,50,1525.18498,41.06776047,1808.055,26.21232033,1961.220039,38.98635483,1966.110078,35.65062332,,,,,,,1447.120039,27.54821014,1529.05998,25.51020432,1740.524922,32.36246109,1368.105,39.52569199,,,1762.214961,34.66204453,1893.110078,31.59557724,1444.455,42.55319214
,,,1949.690039,38.61003876,,,2044.15,32.25806427,1653.55,36.6300354,1695.630078,36.231884,,,,,,,1985.269922,30.58103943,,,,,,,,,2440.480078,33.89830399,1605.82002,39.0625,,,1702.019922,38.16793823,1695.080078,38.9105072,,,,,,,,,,,1944.569922,25.51020432,1166.47998,61.72839355,,,1733.769922,33.6700325,2515.980078,38.16793823,,,1685.709961,38.02281189,,,,,1696.940039,34.60207748,,,1724.559961,38.31417465,2236.569922,37.59398651,2175.959961,33.00329971,2245.519922,32.89473724,2245.519922,32.89473724,1983.719922,36.10108185,2000.890039,33.11258316,1659.730078,35.21126938,2056.269922,32.89473724,2335.569922,31.64556885,1598.62002,35.58718872,1670.5,41.49377441,1367.140039,43.47826004,1513.090039,44.8430481,1422.32002,50.7614212,1959.580078,35.33568954,1768.909961,45.24886703,1773.380078,40.16064072,2101.390039,43.10344696,1770.990039,39.52569199,1893.340039,47.8468895,1898.940039,51.28205109,979.1700195,73.52941132,,,,,1621.880078,40.81632614,1933.230078,35.97122192,1748.959961,36.6300354,2065.140039,40.81632614,1860.240039,49.75124359,1513.140039,42.91845322,,,1603.6,42.1940918,1633.680078,41.66666794,,,2060.4,55.55555725,1842.95,40.81632614,1336.140039,50.25125504,2022.960078,32.25806427,2235.570039,38.75968933,,,1700.470039,29.49852562,,,1039.020039,54.79452133,,,,,,,,,3143.620039,34.8432045,1871.255,33.2225914,,,,,2244.985078,32.84072113,1734.68,36.76470566,1687.48,40.98360825,,,1704.970039,33.27787018,,,,,1801.060078,42.01680756,1882.68,40.89979553,,,1740.235078,37.80718231,,,,,,,,,,,1790.385078,41.06776047,1263.539961,73.52941132,1742.874922,34.8432045,1145.45002,45.97701263,1527.764961,38.68471909,1811.764961,26.91790009,1963.520039,43.47826004,1968.914961,35.7142868,,,,,,,1450.50998,29.32551384,1533.139961,24.75247574,1743.164961,37.87878799,1370.62502,39.68254089,,,1765.274922,32.67973709,1896.155,32.78688431,1446.845039,41.92872238
,,,1952.190039,40.32258224,,,2047.169922,33.2225914,1656.340039,35.7142868,1698.419922,35.7142868,,,,,,,1988.4,32.05128098,,,,,,,,,2443.45,33.6700325,1608.469922,37.73584747,,,1704.959961,33.89830399,1697.669922,38.61003876,,,,,,,,,,,1948.569922,25.0626564,1168.040039,64.10256195,,,1736.709961,33.89830399,,,,,1688.330078,38.31417465,,,,,1699.5,39.0625,,,1727.15,38.61003876,2239.340039,35.97122192,2178.85,34.60207748,2248.490039,33.6700325,2248.490039,33.6700325,1986.519922,35.7142868,2003.930078,32.89473724,1662.430078,37.0370369,2059.2,34.12969208,2338.590039,33.11258316,1600.890039,44.05286407,1672.969922,40.4858284,1370.17998,33.00329971,1515.32002,44.8430481,1424.37002,48.78048706,1962.580078,33.44481659,1771.209961,43.29004288,1775.819922,40.98360825,2103.759961,42.1940918,1773.419922,41.15226364,1895.330078,50.25125504,1900.990039,48.54368973,980.5900391,70.42253876,,,,,1624.140039,44.44444275,1935.980078,36.36363602,1751.790039,35.33568954,2067.859961,36.76470566,1862.169922,51.81347275,1515.52002,42.01680756,,,1605.990039,41.66666794,1636.009961,42.73504257,,,2062.180078,56.17977524,1845.319922,42.1940918,1338.17002,49.26108551,2025.98,33.11258316,2238.139961,38.9105072,,,1703.460078,33.44481659,,,1040.864961,54.05405426,,,,,,,,,3146.435078,35.52397919,1874.255,33.33333206,,,,,2248.214961,30.95975304,1737.214961,39.44773102,1689.885078,41.49377441,,,1707.924922,33.78378296,,,,,1803.714961,37.66478348,1885.049922,42.1940918,,,1743.049922,35.52397919,,,,,,,,,,,1792.874922,40.24144745,1265.23498,59.17159653,1745.910078,32.94892883,1147.670039,45.04504395,1530.10002,42.82655334,1815.43,27.35978127,1965.905,41.92872238,1971.649922,36.5630722,,,,,,,1454.35998,26.31579018,1537.15998,24.81389618,1746.605,29.11208153,1373.10998,40.08016205,,,1768.085078,35.65062332,1899.385078,30.95975304,1449.289961,40.81632614
,,,1955.1,34.12969208,,,2050.269922,32.25806427,1659.119922,36.10108185,1701.25,35.33568954,,,,,,,1991.65,30.76922989,,,,,,,,,2446.419922,33.5570488,1610.869922,41.84100342,,,1707.6,38.02281189,1700.259961,38.61003876,,,,,,,,,,,1952.609961,24.69135857,1169.55,66.22516632,,,1739.309961,38.46154022,,,,,1690.880078,39.0625,,,,,1702.169922,37.3134346,,,1729.709961,39.0625,2242.059961,36.90036774,2181.769922,34.2465744,2251.469922,33.44481659,2251.469922,33.44481659,1989.440039,34.2465744,2006.880078,33.89830399,1665.15,36.76470566,2062.2,33.33333206,2341.65,32.67973709,1603.27002,42.01680756,1675.2,44.8430481,1372.62998,40.65040588,1517.540039,45.04504395,1426.52998,46.29629517,1965.469922,34.60207748,1773.640039,41.32231522,1778.280078,40.65040588,2106.140039,42.1940918,1775.980078,39.0625,1897.35,49.50495148,1902.969922,50.50505066,981.9700195,71.94244385,,,,,1626.440039,43.47826004,1938.819922,35.21126938,1754.75,33.89830399,2070.219922,42.37288284,1864.180078,49.50495148,1518,40.65040588,,,1608.419922,41.32231522,1638.669922,37.59398651,,,2064.190039,49.75124359,1847.680078,42.37288284,1340.12998,51.28205109,2028.98,33.44481659,2240.749922,38.31417465,,,1706.560078,32.25806427,,,1042.75998,52.77044678,,,,,,,,,3149.235078,35.7142868,1877.224922,33.72681427,,,,,2251.195039,33.5570488,1739.724922,39.84063721,1692.33,40.98360825,,,1711.03,32.15434265,,,,,1806.120039,41.58003998,1887.48,41.15226364,,,1745.849922,35.65062332,,,,,,,,,,,1795.195039,43.10344696,1266.964961,57.8034668,1748.849922,34.01360703,1149.72502,48.66180038,1532.514961,41.49377441,1819.364961,25.31645584,1968.270039,42.28329849,1974.449922,35.7142868,,,,,,,1457.620039,30.30303001,1541.30002,23.86634827,1749.214961,38.24091721,1375.85002,36.5630722,,,1771.139961,32.73322296,1902.685078,30.34901428,1451.75002,40.65040588
,,,1957.619922,39.52569199,,,2053.330078,32.67973709,1661.930078,35.46099472,1703.990039,36.49634933,,,,,,,1994.819922,31.54574203,,,,,,,,,2449.359961,34.12969208,1613.45,38.61003876,,,1710.280078,37.3134346,1702.830078,38.75968933,,,,,,,,,,,1956.530078,25.51020432,1171.109961,64.10256195,,,1742.390039,32.57329178,,,,,1693.45,38.9105072,,,,,1704.959961,35.97122192,,,1732.340039,38.02281189,2244.65,38.61003876,2184.840039,32.57329178,2254.45,33.6700325,2254.45,33.6700325,1992.280078,35.21126938,2009.869922,33.44481659,1667.919922,36.10108185,2065.240039,33.00329971,2344.780078,31.94888115,1605.709961,40.98360825,1677.480078,43.85964966,1375.07998,40.81632614,1519.790039,44.44444275,1428.490039,51.02040863,1968.25,35.84229279,1775.890039,44.24778748,1780.719922,40.98360825,2108.419922,43.66812134,1778.430078,40.81632614,1899.409961,48.54368973,1905,49.26108551,983.3099609,75.18797302,,,,,1628.830078,41.84100342,1941.590039,35.97122192,1757.430078,37.17472076,2073.009961,35.84229279,1866.219922,49.01960754,1520.540039,39.2156868,,,1610.819922,41.66666794,1640.930078,44.24778748,,,2066.090039,52.35602188,1850.059961,42.01680756,1342.07002,51.28205109,2032.020039,32.89473724,2243.310078,39.0625,,,1709.620039,32.67973709,,,1044.60002,54.34782791,,,,,,,,,3152.110078,34.8432045,1880.205,33.50083923,,,,,2254.289961,32.31017685,1742.189961,40.5679512,1694.724922,41.66666794,,,1714.099922,32.6264267,,,,,1808.605,40.16064072,1890.035078,39.13894272,,,1748.614961,36.231884,,,,,,,,,,,1797.585078,41.75365448,1269.389961,41.23711395,1751.799922,33.89830399,1151.83,47.50593948,1534.970039,40.73319626,1823.024922,27.28512955,1970.764961,40.16064072,1977.114961,37.45318222,,,,,,,1461.48,25.90673637,1545.220039,25.57544708,1751.910078,37.0370369,1378.620039,36.10108185,,,1773.949922,35.58718872,1905.860078,31.44654083,1454.13,42.10526276
,,,1960.090039,40.65040588,,,2056.390039,32.67973709,1664.690039,36.36363602,1706.769922,35.97122192,,,,,,,1997.940039,32.05128098,,,,,,,,,2452.309961,33.78378296,1616.059961,38.31417465,,,1712.909961,38.02281189,1705.4,38.9105072,,,,,,,,,,,1960.480078,25.31645584,1172.67998,63.69426727,,,1745.309961,34.2465744,,,,,1696.080078,38.02281189,,,,,1707.5,39.52569199,,,1734.95,38.31417465,2247.440039,35.97122192,2187.65,35.58718872,2257.459961,33.2225914,2257.459961,33.2225914,1995.040039,36.36363602,2012.869922,33.44481659,1670.619922,37.0370369,2068.090039,34.96503448,2348.130078,29.85074615,1608.22998,39.68254089,1679.790039,43.29004288,1377.2,47.16981125,1522.009961,45.04504395,1430.390039,52.63158035,1971.1,35.21126938,1778.230078,42.91845322,1783.130078,41.49377441,2110.8,42.01680756,1780.940039,39.84063721,1901.509961,47.8468895,1906.990039,50.50505066,984.6700195,73.52941132,,,,,1631.4,38.75968933,1944.45,34.96503448,1760.180078,36.36363602,2075.380078,42.1940918,1868.140039,52.08333206,1522.85,43.29004288,,,1613.25,41.15226364,1643.480078,39.2156868,,,2067.9,55.55555725,1852.430078,42.1940918,1344,51.81347275,2035.08,32.67973709,2246.089961,35.97122192,,,1712.670039,32.78688431,,,1046.514961,52.2193222,,,,,,,,,3154.899922,35.77817535,1883.149922,34.01360703,,,,,2257.339961,32.78688431,1744.78,38.53564453,1697.185078,40.73319626,,,1717.170039,32.6264267,,,,,1811.199922,38.61003876,1892.405,42.1940918,,,1751.374922,36.16636658,,,,,,,,,,,1799.974922,41.84100342,1271.48,47.96163177,1754.705,34.42340851,1154.105,43.95604324,1537.355,41.84100342,1827.024922,25.0626564,1973.164961,41.58003998,1979.895039,36.03603745,,,,,,,1464.83,29.67358971,1549.270039,24.69135857,1754.63,36.83241272,1381.005,41.84100342,,,1776.864961,34.2465744,1908.989961,31.94888115,1456.505,42.01680756
,,,1962.7,38.31417465,,,2059.45,32.67973709,1667.490039,35.7142868,1709.509961,36.49634933,,,,,,,2001.230078,30.39513588,,,,,,,,,2455.240039,34.12969208,1618.730078,37.45318222,,,1715.630078,36.6300354,1708.130078,36.76470566,,,,,,,,,,,1964.559961,24.50980377,1174.22998,64.51612854,,,1748.459961,31.74603081,,,,,1698.609961,39.52569199,,,,,1710.430078,34.01360703,,,1737.5,39.2156868,2250.009961,38.61003876,2190.540039,34.60207748,2260.4,34.01360703,2260.4,34.01360703,1997.880078,35.08771896,2015.9,32.89473724,1673.35,36.6300354,2070.890039,35.7142868,2351.140039,33.2225914,1610.619922,41.84100342,1682.230078,40.98360825,1380.45,30.86419678,1524.22002,45.24886703,1432.47998,47.8468895,1973.930078,35.21126938,1780.719922,40,1785.55,41.32231522,2113.059961,44.44444275,1783.409961,40.4858284,1903.559961,48.54368973,1908.980078,50,986.1,69.44444275,,,,,1633.95,39.37007904,1947.219922,36.10108185,1763.030078,35.08771896,2077.859961,40.32258224,1870.080078,51.81347275,1525.42998,38.61003876,,,1615.680078,41.15226364,1645.75,44.05286407,,,2069.790039,52.91005325,1854.759961,42.91845322,1345.959961,51.02040863,2037.999922,34.12969208,2248.749922,37.59398651,,,1715.720039,32.78688431,,,1048.42502,52.35602188,,,,,,,,,3157.720039,35.46099472,1886.120039,33.6700325,,,,,2260.510078,31.54574203,1747.235078,40.81632614,1699.570039,41.84100342,,,1720.249922,32.36246109,,,,,1813.639961,40.98360825,1894.749922,42.64392471,,,1754.295039,34.30531693,,,,,,,,,,,1802.474922,40,1272.714961,80.32128143,1757.595039,34.54231262,1156.189961,47.8468895,1539.805,40.81632614,1830.739961,26.88171959,1975.535078,42.1940918,1982.760078,34.8432045,,,,,,,1468.320039,28.73563194,1553.30002,25.0626564,1758.060078,29.15451813,1383.705,37.17472076,,,1779.864961,33.38898087,1912.245039,30.72196579,1458.87502,42.1940918
,,,1965.169922,40.4858284,,,2062.419922,33.6700325,1670.290039,35.7142868,1712.3,35.84229279,,,,,,,2004.340039,32.05128098,,,,,,,,,2458.209961,33.78378296,1621.219922,40.16064072,,,1718.45,35.58718872,1710.669922,39.37007904,,,,,,,,,,,1968.490039,25.44529343,1175.77002,64.51612854,,,1751.380078,34.2465744,,,,,1701.130078,39.68254089,,,,,1713.019922,38.61003876,,,1740.069922,38.9105072,2252.719922,36.90036774,2193.6,32.67973709,2263.5,32.15434265,2263.5,32.15434265,2000.730078,35.21126938,2018.85,33.89830399,1676.090039,36.49634933,2074.009961,32.05128098,2354.259961,32.05128098,1612.95,42.91845322,1684.580078,42.37288284,1382.5,48.54368973,1526.57002,42.55319214,1434.52998,48.78048706,1976.730078,35.7142868,1782.969922,44.6428566,1788.059961,39.84063721,2115.380078,42.91845322,1785.9,40.16064072,1905.619922,48.78048706,1911.019922,49.26108551,987.4599609,73.52941132,,,,,1636.080078,46.94835663,1950.190039,33.78378296,1765.7,37.45318222,2080.790039,34.2465744,1872.030078,51.28205109,1527.82998,41.84100342,,,1618.019922,42.73504257,1648.319922,39.0625,,,2071.709961,52.08333206,1857.390039,38.02281189,1347.92002,51.02040863,2040.960078,33.89830399,2251.299922,39.2156868,,,1718.820039,32.25806427,,,1050.30002,53.47593689,,,,,,,,,3160.545039,35.39823151,1889.070039,33.89830399,,,,,2263.645039,31.94888115,1749.855,38.16793823,1702.049922,40.32258224,,,1723.395039,31.89792633,,,,,1816.005,42.28329849,1897.135078,41.92872238,,,1756.964961,37.38317871,,,,,,,,,,,1804.839961,42.37288284,1274.114961,71.42857361,1760.539961,33.95585632,1158.38498,45.66210175,1542.13,43.10344696,1834.555,26.28120804,1977.889961,42.46284485,1985.485078,36.69724655,,,,,,,1471.80998,28.5714283,1557.23,25.51020432,1760.745039,37.24394608,1386.164961,40.5679512,,,1782.824922,33.72681427,1915.349922,32.20611954,1461.270039,41.75365448
,,,1967.659961,40,,,2065.340039,34.2465744,1673.05,36.10108185,1715,37.0370369,,,,,,,2007.440039,32.36246109,,,,,,,,,2461.130078,34.2465744,1623.869922,37.73584747,,,1721.1,37.73584747,1713.25,38.61003876,,,,,,,,,,,1972.309961,26.17801094,1177.309961,65.35947418,,,1754.340039,33.78378296,,,,,1703.709961,38.9105072,,,,,1715.9,34.72222137,,,1742.669922,38.46154022,2255.430078,37.0370369,2196.35,36.36363602,2266.440039,34.01360703,2266.440039,34.01360703,2003.5,35.97122192,2021.909961,32.67973709,1678.830078,36.49634933,2076.959961,33.78378296,2357.5,30.86419678,1615.4,40.81632614,1686.940039,42.55319214,1384.67002,46.08295059,1528.75,45.87155914,1436.6,48.3091774,1979.509961,36.10108185,1785.240039,43.85964966,1790.530078,40.4858284,2117.690039,43.29004288,1788.430078,39.52569199,1907.669922,48.78048706,1912.959961,51.54639053,988.9900391,65.78947449,,,,,1638.45,42.1940918,1952.880078,37.17472076,1768.730078,33.00329971,2083.130078,42.55319214,1873.980078,51.02040863,1530.22998,41.49377441,,,1620.380078,42.37288284,1650.6,43.66812134,,,2073.609961,52.63158035,1859.759961,42.1940918,1349.859961,51.54639053,2043.960078,33.2225914,2253.720039,41.15226364,,,1721.849922,33.00329971,,,1052.15002,53.90835571,,,,,,,,,3163.405,34.96503448,1892.014961,33.89830399,,,,,2266.764961,32,1752.335078,40.32258224,1704.489961,40.98360825,,,1726.399922,33.2225914,,,,,1818.545039,39.37007904,1899.764961,38.02281189,,,1760.185078,31.15264893,,,,,,,,,,,1807.205,42.1940918,1275.83498,58.139534,1763.499922,33.8409462,1160.314961,51.67958832,1544.655,39.52569199,1838.289961,26.73796844,1980.455,38.98635483,1988.264961,35.97122192,,,,,,,1475.239961,29.32551384,1561.20998,25,1763.495039,36.36363602,1389.00998,35.14938354,,,1785.805,33.61344528,1918.414961,32.57329178,1463.655,42.01680756
